Key,english
chickencage,"[800080]Chicken Cage [FFFFFF]- [FF0000]Not ready for Harvest."
chickencageDesc,"[800080]Place this down and wait until it prompts you to harvest. Upon harvest, you get feathers and eggs!"
chickencageharvested,[00FF00]Chicken Eggs - Ready to harvest!
chickencageharvestedDesc,[00FF00]Chicken Cage [FFFFFF]- Ready to Harvest! [FFFFFF]- [FFFF00]Left-Click


ChickenCoop,"Chicken Coop"
ChickenCoopDesc,"Collect eggs daily from your own personal chicken coop."
ChickenCoopHarvest,"Harvestable Chicken Coop"
workbench,Workbench (requires power)
WorkingtableSaw,Working TableSaw (requires power)
workbench,Workbench (requires power)
forge,Induction Forge (requires power)
PowerHammer,Power Hammer (requires power)
MillingMachine,Gunsmithing Milling Machine (requires power)
LathingMachine,Gunsmithing Lathing Machine (requires power)
